     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,         1,         0,   0.001,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         1,         0,   0.001,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,        11,         0,   0.001,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
      5400,        29,         0,   0.003,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
     16200,        91,         0,   0.008,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
    687800,      3046,         0,   0.292,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
     48600,       241,         0,   0.022,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
     48600,       253,         0,   0.023,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
    436700,      2076,         0,   0.193,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    145800,       681,         0,   0.066,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
    243000,      1267,         0,   0.110,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
    696600,      3225,         0,   0.303,pymatching,4802d5d95bf5e4340f5dd02b8412d15c595f1edc590ec38bc060e5f84a178e96,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0027500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    218700,      1074,         0,   0.099,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         1,         0,   0.001,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
