     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      6814,       121,      1616,   0.034,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     22894,       130,      5578,   0.008,pymatching,8c4430f82b1dab724ae38125281436c2c0f1a4fbf7776bd07f7a76750eb76957,"{""d_final"":3,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         3,        17,   0.002,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         4,        48,   0.002,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,        11,       148,   0.003,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    111878,      1915,     26950,   0.433,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1800,        27,       418,   0.003,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      5400,        66,      1338,   0.007,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      2978,        53,       726,   0.018,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     16200,       214,      3873,   0.015,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
